laura,garcia,sistemes,laura123
marc,torra,vendes,vendes2024
josep,vila,rrhh,people01
maria,sants,direccio,bossmaria
pau,ribas,sistemes,sysadmin99
anna,durany,marketing,adsgoogle
joan,casas,vendes,vendotodo
elena,puig,comptabilitat,euros$$
jordi,mas,direccio,jefejordi
sara,leon,rrhh,talenthh
kevin,costner,sistemes,bodyguard
pere,pi,vendes,pivendes
lluis,roura,marketing,logonew
marta,prat,comptabilitat,factura1
carla,simo,sistemes,devops00
pol,valls,vendes,polvendes
roger,mola,rrhh,rogerrrhh
julia,ros,marketing,viral2026
sergi,bosc,direccio,bigboss
nuria,soler,comptabilitat,money33
